Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
12/30/2012 07:25:35 AM,17.3N,83.6W,,,,,,1.98E+11,0.55
03/18/2015 12:04:50 AM,5.4S,159.3E,50,,,,,1.21E+11,0.36
10-02-12 16:38,8.1S,111.9W,35,,1.4,15.3,1,4.70E+11,1.2
09/28/2012 05:44:12 AM,6.9S,73.7E,,,,,,38000000000,0.13
05/25/2012 11:31:24 AM,41.8S,36.2W,,,,,,60000000000,0.19
11/20/2012 08:37:31 PM,2.5N,29.6E,33.3,,-12.2,-5.3,5.3,25000000000,0.089
11/20/2012 06:25:11 AM,8.0S,86.0W,,,,,,1.20E+11,0.36
10/19/2012 04:26:22 PM,75.4S,49.6E,29.3,,-2.3,-3.9,12.4,23000000000,0.082
03/30/2015 09:33:52 PM,36.1S,5.5W,33.1,,-13.7,-1.7,0.8,64000000000,0.2
10-09-12 0:54,51.2N,84.6W,27.8,,3.4,12,5.1,2.10E+11,0.58
09-10-12 1:03,69.8S,111.7W,23.8,,-10.2,-5.2,12.4,23000000000,0.082
04-08-15 4:06,25.5S,51.5E,36.3,,8,-15.6,-7.9,1.73E+11,0.49
08/27/2012 06:57:43 AM,18.3S,64.2E,38.7,,-8,-23.7,-14.5,68000000000,0.22
08/26/2012 02:55:47 PM,11.8N,117.0E,36,,5,-11.6,-0.7,2.49E+11,0.68
09/18/2012 07:34:39 PM,1.2N,52.2W,28.1,,-1.9,14.1,-11.5,2.44E+11,0.67
04-03-15 1:39,8.4N,157.9W,,,,,,42000000000,0.14
09-11-12 22:07,18.9S,105.2E,,,,,,52000000000,0.17
04/21/2012 04:08:23 PM,15.8S,174.8W,,,,,,1.43E+11,0.42
04/30/2015 10:21:01 AM,48.7S,139.1E,26.7,,12.2,-4.2,0.9,1.05E+11,0.32
07/27/2012 04:19:50 AM,63.1N,172.3E,27.2,,,,,34000000000,0.12
05-04-12 21:54,76.7N,10.6W,,,,,,2.29E+11,0.63
04/23/2012 10:01:10 PM,36.2N,107.4E,25.2,,,,,44000000000,0.15
07/25/2012 07:48:20 AM,36.4N,41.5E,26.8,,0.8,2,-18.4,1.33E+11,0.39
04/21/2015 01:42:51 AM,37.7N,39.6W,37.4,,-15.3,12.8,7.4,88000000000,0.27
05/15/2012 11:04:17 AM,61.8S,135.5W,33.3,,-0.8,1.1,17,1.32E+11,0.39
