"","Date.Time...Peak.Brightness..UT.","Latitude..Deg.","Longitude..Deg.","Altitude..km.","Velocity..km.s.","Velocity.Components..km.s...vx","Velocity.Components..km.s...vy","Velocity.Components..km.s...vz","Total.Radiated.Energy..J.","Calculated.Total.Impact.Energy..kt."
"54","09-09-14 18:55","3.2N","137.2E",32.5,18,-0.8,-12.7,-7.7,2.8e+10,0.098
"55","11/26/2014 11:16:51 PM","69.5S","179.7W",23.3,19.2,21.3,2.2,13.4,1.18e+11,0.35
"56","03-08-15 4:26","39.1S","118.6W",30.7,32.1,18,-15.1,-7.8,2e+10,0.073
"57","01-02-15 13:39","31.1S","140.0E",38.1,18.1,4.5,-14.4,-10,2e+10,0.073
"58","03-11-15 6:18","8.0N","119.1E",35.2,18.1,5.5,-10.5,-16,7.2e+10,0.23
"59","06/26/2014 05:54:41 AM","71.5S","93.4E",28.5,16.2,7,2.9,8.3,6.1e+10,0.2
"60","10-06-14 20:02","43.7S","85.7E",37,18.1,7.8,-12.7,-0.1,3.9e+10,0.13
"61","01-12-14 16:00","2.9N","64.4E",37,18,-5.2,-15.1,2.6,7.8e+10,0.24
"62","11/28/2014 11:47:18 AM","45.8S","172.7W",26.1,18.6,0.4,-1.4,13.3,7e+11,1.7
"63","10/14/2014 10:25:03 AM","2.0S","119.2E",27.2,16.2,15,-6.9,-3.5,2.9e+10,0.1
"64","05/29/2014 01:12:36 AM","21.9N","131.1W",28.7,12.4,-2.4,-5.3,5.3,5.8e+10,0.19
"65","02-07-13 13:12","18.8S","158.6W",33.7,19.2,-13.7,-16,-2.7,6.5e+10,0.21
"66","05/14/2013 11:20:21 PM","3.0S","76.4E",26.3,18.6,10,-15.1,-7.9,2e+10,0.073
"67","10-03-12 22:50","41.5S","21.9W",26.8,12.4,-2.4,5.5,15.9,2.8e+11,0.75
"68","12/30/2012 07:25:35 AM","17.3N","83.6W",30.5,18,10,12,6.5,1.98e+11,0.55
"69","03/18/2015 12:04:50 AM","5.4S","159.3E",50,32.1,4.5,14,1,1.21e+11,0.36
"70","10-02-12 16:38","8.1S","111.9W",35,16.2,1.4,15.3,1,4.7e+11,1.2
"71","09/28/2012 05:44:12 AM","6.9S","73.7E",37.4,32.1,-28.2,-13.3,-10.3,3.8e+10,0.13
"72","05/25/2012 11:31:24 AM","41.8S","36.2W",27.2,19.2,16,-10.5,2.2,6e+10,0.19
"73","11/20/2012 08:37:31 PM","2.5N","29.6E",33.3,18,-12.2,-5.3,5.3,2.5e+10,0.089
"74","11/20/2012 06:25:11 AM","8.0S","86.0W",33.3,32.1,-15.3,14.9,9.4,1.2e+11,0.36
"75","10/19/2012 04:26:22 PM","75.4S","49.6E",29.3,32.1,-2.3,-3.9,12.4,2.3e+10,0.082
"76","03/30/2015 09:33:52 PM","36.1S","5.5W",33.1,16.2,-13.7,-1.7,0.8,6.4e+10,0.2
"77","10-09-12 0:54","51.2N","84.6W",27.8,19.2,3.4,12,5.1,2.1e+11,0.58
"78","09-10-12 1:03","69.8S","111.7W",23.8,19.2,-10.2,-5.2,12.4,2.3e+10,0.082
"79","04-08-15 4:06","25.5S","51.5E",36.3,16.2,8,-15.6,-7.9,1.73e+11,0.49
"80","08/27/2012 06:57:43 AM","18.3S","64.2E",38.7,18.6,-8,-23.7,-14.5,6.8e+10,0.22
"81","08/26/2012 02:55:47 PM","11.8N","117.0E",36,12.4,5,-11.6,-0.7,2.49e+11,0.68
"82","09/18/2012 07:34:39 PM","1.2N","52.2W",28.1,12.4,-1.9,14.1,-11.5,2.44e+11,0.67
"83","04-03-15 1:39","8.4N","157.9W",45.5,12.4,-7,-13.3,-14.5,4.2e+10,0.14
"84","09-11-12 22:07","18.9S","105.2E",28.7,18.1,15.9,-5.2,2.2,5.2e+10,0.17
"85","04/21/2012 04:08:23 PM","15.8S","174.8W",39.8,16.2,5,12.8,-8,1.43e+11,0.42
"86","04/30/2015 10:21:01 AM","48.7S","139.1E",26.7,16.2,12.2,-4.2,0.9,1.05e+11,0.32
"87","07/27/2012 04:19:50 AM","63.1N","172.3E",27.2,19.2,2.3,2.9,-10,3.4e+10,0.12
"88","05-04-12 21:54","76.7N","10.6W",35.2,18.6,1.4,-15.6,-12.5,2.29e+11,0.63
"89","04/23/2012 10:01:10 PM","36.2N","107.4E",25.2,16.2,15.3,-11,0.9,4.4e+10,0.15
"90","07/25/2012 07:48:20 AM","36.4N","41.5E",26.8,18.1,0.8,2,-18.4,1.33e+11,0.39
"91","04/21/2015 01:42:51 AM","37.7N","39.6W",37.4,32.1,-15.3,12.8,7.4,8.8e+10,0.27
"92","05/15/2012 11:04:17 AM","61.8S","135.5W",33.3,18.6,-0.8,1.1,17,1.32e+11,0.39
